movie,n_only,n_siblings,statistic,p_value,significant
The Station Agent (2003),16,48,0.14583333333333337,0.9490511491716791,False
Jurassic Park (1993),99,496,0.1198069403714565,0.17205756867020547,False
Captain America: Civil War (2016),104,431,0.160561306442977,0.023333244735539896,False
A Perfect Murder (1998),23,59,0.10537951363301401,0.9801642637315666,False
Analyze That (2002),16,61,0.18954918032786883,0.6715231950950166,False
Braveheart (1995),41,163,0.13885979350591052,0.4965444582848727,False
Inception (2010),121,591,0.08249080561032562,0.47254586836075196,False
Groundhog Day (1993),52,235,0.05523731587561376,0.9983084694836811,False
The Lookout (2007),13,47,0.17184942716857612,0.8640134366349279,False
21 Grams (2003),13,54,0.1894586894586895,0.771260689451661,False
Gladiator (2000),52,245,0.11216640502354791,0.6070298989106824,False
Midnight Cowboy (1969),17,59,0.13758723828514452,0.9286381496324273,False
Fatal Attraction (1987),23,100,0.21608695652173915,0.2952403098901021,False
House of Sand and Fog (2003),15,50,0.24666666666666665,0.4193458994755008,False
On Golden Pond (1981),12,51,0.14705882352941177,0.9641586737128667,False
The Mummy (1999),65,298,0.16510067114093963,0.09590952361067118,False
The Descent (2005),21,92,0.11024844720496893,0.9667840953408947,False
Runaway Bride (1999),25,116,0.10448275862068968,0.9569518158281171,False
Harry Potter and the Goblet of Fire (2005),136,674,0.047652295339500786,0.9466871813655136,False
Gods and Generals (2003),11,52,0.1748251748251748,0.8936124145614234,False
My Father and My Son (2005),13,53,0.10449927431059519,0.9985814810643079,False
